# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
aanliggende grond gebruik|gebruik van de aanliggende grond
aanvullend pensioen bedrijf|bedrijf dat adviseert over het aanvullend pensioen
achtste finale wed strijd|wedstrijd die een achtste finale is
achttien holes golf baan|golfbaan met achttien holes
acht uur journaal|journaal van acht uur
administratieve lasten druk|de druk die verplichte officiële administratie met zich meebrengt
Afghaanse wind hond pup|pup van het ras Afghaanse windhond
afstaande oren correctie|operatie waarbij flaporen worden gecorrigeerd
algemeen bestuur vergadering|vergadering van het algemeen bestuur
alleen staande ouder korting|korting voor de alleenstaande ouder
ander halve meter regel|regel die voorschrijft om minstens anderhalve meter afstand van elkaar te houden
ander halve meter samen leving|samenleving waarin iedereen minstens anderhalve meter afstand van elkaar probeert te houden
bebouwde kom grens|punt in een stad/dorp waar de bebouwde kom begin/eindigt
beeldende kunst instelling|instelling voor beeldende kunst
beeldende kunst manifestatie|manifestatie van beeldende kunst
beeldende kunst project|project voor beeldende kunst
beeldende kunst talent|talent in de beeldende kunst
beeldende kunst ten toon stelling|tentoonstelling van beeldende kunst
begane grond appartement|appartement op de begane grond
begane grond gedeelte|gedeelte van een woning op de begane grond
begane grond vloer|vloer op de begane grond
begane grond woning|woning op de begane grond
bekende Nederlanders reservoir|reservoir van bekende Nederlanders
belegde broodjes specialist|specialist in belegde broodjes
Belgisch bier liefhebber|liefhebber van Belgisch bier
beneden modaal verdiener|iemand die minder dan een modaal inkomen verdient
bepaalde tijd contract|contract voor bepaalde tijd
beschikbare premie regeling|bepaalde vorm van pensioensparen
beste prijs garantie|garantie dat je altijd de beste prijs voor een bepaald product betaalt
betaald parkeren gebied|gebied waar betaald parkeren geldt
betaald voetbal club|club in het betaalde voetbal, profclub
betaald voetbal organisatie|organisatie in het betaalde voetbal, profclub
betaald voetbal scheids rechter|scheidsrechter die wedstrijden in het betaald voetbal fluit
bijzondere machten wet|wet waarmee de koning of regering in bepaalde omstandigheden extra bevoegdheden krijgt
bijzondere zorg afdeling|afdeling voor/met bijzondere zorg
bindend advies clausule|clausule met betrekking tot een bindend advies door deskundigen
bittere amandel olie|olie van bittere amandelen
blanco drager heffing|heffing op blanco (beeld- en geluids)dragers
blauwe kaas saus|saus met blauwe kaas
blauwe bessen plant|blauwe bes
blauwe tonijn populatie|populatie van de blauwe tonijn
blauwe wallen crème|crème tegen blauwe wallen onder de ogen
